"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","RT @alalwan86: Cleartrip trying to charge me amounts due to a weakness in their staff and support #IATA #Emirates #britishairways #gulfair…",FALSE,0,NA,2018-03-28 06:30:01,FALSE,NA,"978881878450233347",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alalwan86",1,TRUE,FALSE,NA,NA
"47","RT @alalwan86: #cleartrip is not complying with airlines policies and IATA #IATA #emirates #india #britishairways #etihadairways #gulfair",FALSE,0,NA,2018-03-28 06:29:58,FALSE,NA,"978881865187774470",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alalwan86",1,TRUE,FALSE,NA,NA
"48","Best job ever.....#BritishAirways #BHX #groundcrew https://t.co/riaBDegKKG",FALSE,0,NA,2018-03-28 05:55:13,FALSE,NA,"978873121167101954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaviesPeta1",0,FALSE,FALSE,NA,NA
"49","RT @stevenceltic81: #BritishAirways are a disgrace. All credit to this lady for publicly shaming them! https://t.co/HyJyopDb08",FALSE,0,NA,2018-03-28 05:45:57,FALSE,NA,"978870787963867137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScottishsoulAli",5,TRUE,FALSE,NA,NA
"50","No #BritishAirways #redeye flight is complete without an #EnglishBreakfast! It's a mixed grill of an #omelette,… https://t.co/OEend5vhOC",FALSE,3,NA,2018-03-28 05:29:34,TRUE,NA,"978866668704337920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Milesintheair",1,FALSE,FALSE,NA,NA
"51","A lovely thick chunk of fresh smoked Seared Tuna followed by a spicy panfried snapper &amp; some map watching!… https://t.co/CzNinOEKM2",FALSE,3,NA,2018-03-28 05:29:03,TRUE,NA,"978866537145741313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Milesintheair",1,FALSE,FALSE,NA,NA
"52","«Daily Digest»Quick roundup of today's airline/hotel industry news <ed><U+00A0><U+00BD><ed><U+00B1><U+0089>https://t.co/s59sbt80IA #BritishAirways #Delta #AirNewZealand #JetBlue",FALSE,2,NA,2018-03-28 05:12:05,FALSE,NA,"978862267675660291",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","pointimize",1,FALSE,FALSE,NA,NA
"53","RT @stevenceltic81: #BritishAirways are a disgrace. All credit to this lady for publicly shaming them! https://t.co/HyJyopDb08",FALSE,0,NA,2018-03-28 04:41:27,FALSE,NA,"978854556095348737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nala1888",5,TRUE,FALSE,NA,NA
"54","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 04:35:29,FALSE,NA,"978853057722241024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","josephine1933",310,TRUE,FALSE,NA,NA
"55","British Airways 747-400 G-CIVU taxis past another at San Francisco International Airport #sfo #ksfo #britishairways… https://t.co/rmhwGIDDOI",FALSE,0,NA,2018-03-28 04:25:11,TRUE,NA,"978850466326040576",NA,"<a href=""http://opennav.com"" rel=""nofollow"">OpenNav</a>","opennav",0,FALSE,FALSE,NA,NA
"56","@British_Airways is going revenue based!?https://t.co/9z7orlBE3P #BritishAirways #Avios",FALSE,0,"British_Airways",2018-03-28 04:11:05,FALSE,NA,"978846915944243202","18332190","<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","pointimize",0,FALSE,FALSE,NA,NA
"57","RT @urimiscott: Some scenes from my trip home thanks to an unplanned detour through London and Boston on #BritishAirways thanks to @America…",FALSE,0,NA,2018-03-28 02:55:04,FALSE,NA,"978827783617966080",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","paulmerca70601",1,TRUE,FALSE,NA,NA
"58","Some scenes from my trip home thanks to an unplanned detour through London and Boston on #BritishAirways thanks to… https://t.co/Vi68THKCQh",FALSE,6,NA,2018-03-28 02:29:05,TRUE,NA,"978821248342986752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urimiscott",1,FALSE,FALSE,NA,NA
"59","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 02:04:33,FALSE,NA,"978815072423284737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daniw2211",310,TRUE,FALSE,NA,NA
"60","RT @willfmofficial: Unexpected crazy blast through London to Heathrow to make a rearranged flight to NY Thanks @British_Airways for making…",FALSE,0,NA,2018-03-28 02:02:07,FALSE,NA,"978814458557382657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Will68119370",49,TRUE,FALSE,NA,NA
"61","RT @jrphatarfod: First time flying out of @LondonCityAir this evening - gotta love those views! #BritishAirways Flight #BA8495 @British_Air…",FALSE,0,NA,2018-03-28 01:59:42,FALSE,NA,"978813851314638849",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Ian_Brooker",1,TRUE,FALSE,NA,NA
"62","Double #Oneworld
Double #BritishAirways 
Double #747400 
Double #AmericanAirlnes 
Quad… https://t.co/wbQtJzqH8i",FALSE,0,NA,2018-03-28 01:45:55,FALSE,NA,"978810385393422339",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Phxtristar",0,FALSE,FALSE,"-111.99921964","33.4360591"
"63","RT @stevenceltic81: #BritishAirways are a disgrace. All credit to this lady for publicly shaming them! https://t.co/HyJyopDb08",FALSE,0,NA,2018-03-28 00:46:53,FALSE,NA,"978795526895407104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","solebesne",5,TRUE,FALSE,NA,NA
